,support,mape,rmse,mae,r2
train,559.9,0.004999999999999999,0.13940000000000002,0.10410000000000001,1.0
cv,69.1,0.012199999999999999,0.3831,0.2637,0.9985000000000002
unobserved,77.0,0.014800000000000002,0.48150000000000004,0.28979999999999995,0.9979999999999999
