,support,mape,rmse,mae,r2
train,141834.8,0.6018,1720.2116999999998,1136.1493999999998,0.6176
cv,16948.6,0.6098,1895.0077999999999,1190.7772,0.5732999999999999
unobserved,18832.0,0.599,1931.5751,1199.5698,0.5630999999999999
