,support,mape,rmse,mae,r2
train,3888.0,0.0394,696.8197000000001,432.21040000000005,0.9953
cv,540.0,0.046599999999999996,1154.1968000000002,588.3543999999999,0.9870000000000001
unobserved,600.0,0.048299999999999996,1265.8389000000002,628.5169,0.9832999999999998
