,support,mape,rmse,mae,r2
train,1005.6,0.0274,10678.843299999999,4863.4609,0.984
cv,131.4,0.0945,26876.9841,16279.9332,0.8800000000000001
unobserved,146.0,0.0954,34293.5765,18288.283300000003,0.8287000000000001
