,support,mape,rmse,mae,r2
train,1005.6,0.0268,10963.819800000001,4784.8039,0.9801
cv,131.4,0.0935,27438.080800000003,16338.2402,0.8766
unobserved,146.0,0.09109999999999999,34154.11469999999,17468.959899999998,0.8300000000000001
