,support,mape,rmse,mae,r2
train,3807.3,0.08779999999999999,0.021799999999999996,0.016400000000000005,0.9513999999999999
cv,528.7,0.13269999999999998,0.034800000000000005,0.0257,0.8532
unobserved,588.0,0.12820000000000004,0.0354,0.0253,0.8564999999999999
