,support,mape,rmse,mae,r2
train,772.3,0.0513,2.247,1.4523,0.9825999999999999
cv,92.7,0.1048,4.493499999999999,3.0352,0.9255000000000001
unobserved,103.0,0.10740000000000001,4.512,3.2138,0.9252000000000002
