,support,mape,rmse,mae,r2
train,772.3,0.0491,2.2289000000000003,1.4281000000000001,0.9818999999999999
cv,92.7,0.10400000000000001,4.3893,2.9648,0.9294
unobserved,103.0,0.1075,4.443,3.1545000000000005,0.9276000000000002
