,support,mape,rmse,mae,r2
train,11261.9,0.3656,32.4156,20.910899999999998,0.9681
cv,1564.1,0.40759999999999996,39.7573,24.8083,0.9518999999999999
unobserved,1738.0,0.45779999999999993,38.868399999999994,25.127399999999998,0.9533999999999999
