,support,mape,rmse,mae,r2
train,575.9,0.004999999999999999,0.1469,0.1103,1.0
cv,69.1,0.0123,0.3817,0.2613,0.9986
unobserved,77.0,0.015300000000000003,0.4801,0.2954,0.9979999999999999
