,support,mape,rmse,mae,r2
train,974.6,0.23759999999999998,2969.9982,1790.8580000000002,0.9233
cv,120.4,0.3648,4900.985900000001,2908.1303,0.8196
unobserved,134.0,0.329,4363.3868,2858.4533,0.9017999999999999
