,support,mape,rmse,mae,r2
train,387.5,5125640724952799.0,4.7021999999999995,3.1542000000000003,0.9879
cv,46.5,2.4607478220981944e+16,37.902,16.360300000000002,-1.6507
unobserved,52.0,2.353448730396473e+16,157.52319999999997,45.25320000000001,-0.08389999999999999
