,support,mape,rmse,mae,r2
train,398.5,5099688908383640.0,4.6896,3.1241000000000003,0.9873999999999998
cv,46.5,2.5400128920611876e+16,39.3636,16.5271,-1.8832
unobserved,52.0,2.4770580300253076e+16,156.8094,44.397200000000005,-0.0742
