,support,mape,rmse,mae,r2
train,1123.6,0.0269,5360.909,4125.726699999999,0.9955999999999999
cv,131.4,0.08259999999999998,23946.489800000003,14397.288700000001,0.906
unobserved,146.0,0.08839999999999999,31308.5694,16829.9453,0.8573000000000001
