,support,mape,rmse,mae,r2
train,1153.6,0.026600000000000002,5363.0898,4118.1468,0.9955
cv,131.4,0.08279999999999998,23689.606700000004,14286.522200000001,0.908
unobserved,146.0,0.08759999999999998,31092.2753,16762.8783,0.8592000000000001
