,support,mape,rmse,mae,r2
train,15047.4,0.16240000000000002,41408.0143,28465.561199999996,0.8742000000000001
cv,1857.6,0.181,47966.749599999996,32163.1601,0.8261
unobserved,2064.0,0.1805,45946.804099999994,31276.2624,0.8462999999999999
