,support,mape,rmse,mae,r2
train,921.6,0.2165,2741.7876,1615.0862,0.9518000000000001
cv,120.4,0.3509,4946.4295,2871.4983,0.8154
unobserved,134.0,0.2855,4123.717999999999,2559.9731,0.9122
