,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.199,7.467,4.88,0.31
1,1.0,0.15000000000000002,46.0,0.201,5.504,4.055,0.625
2,1.0,0.2,46.0,0.188,5.191,3.817,0.667
3,1.0,0.25,46.0,0.17,4.657,3.503,0.732
4,1.0,0.3,46.0,0.168,4.64,3.457,0.734
5,1.0,0.35,46.0,0.163,4.625,3.328,0.736
6,1.0,0.39999999999999997,46.0,0.165,4.667,3.348,0.731
7,1.0,0.44999999999999996,46.0,0.166,4.787,3.384,0.717
8,1.0,0.49999999999999994,46.0,0.165,4.717,3.314,0.725
9,1.0,0.5499999999999999,46.0,0.165,4.7,3.334,0.727
10,1.0,0.6,46.0,0.159,4.584,3.204,0.74
11,1.0,0.65,46.0,0.147,4.441,3.081,0.756
12,1.0,0.7000000000000001,46.0,0.141,4.222,2.997,0.78
13,1.0,0.7500000000000001,46.0,0.137,4.257,2.98,0.776
14,1.0,0.8000000000000002,46.0,0.139,4.192,2.982,0.783
15,1.0,0.8500000000000002,46.0,0.135,4.134,2.924,0.789
16,1.0,0.9000000000000002,46.0,0.135,4.147,2.881,0.787
17,1.0,0.9500000000000003,46.0,0.134,4.074,2.896,0.795
18,2.0,0.1,46.0,0.191,5.368,3.723,0.642
19,2.0,0.15000000000000002,46.0,0.219,4.975,3.498,0.693
20,2.0,0.2,46.0,0.214,4.115,3.149,0.79
21,2.0,0.25,46.0,0.192,3.872,2.912,0.814
22,2.0,0.3,46.0,0.18,3.648,2.691,0.835
23,2.0,0.35,46.0,0.145,3.302,2.452,0.865
24,2.0,0.39999999999999997,46.0,0.125,3.098,2.19,0.881
25,2.0,0.44999999999999996,46.0,0.131,3.087,2.221,0.882
26,2.0,0.49999999999999994,46.0,0.129,3.144,2.271,0.877
27,2.0,0.5499999999999999,46.0,0.128,3.085,2.247,0.882
28,2.0,0.6,46.0,0.13,3.042,2.256,0.885
29,2.0,0.65,46.0,0.131,3.113,2.275,0.88
30,2.0,0.7000000000000001,46.0,0.134,3.129,2.278,0.878
31,2.0,0.7500000000000001,46.0,0.129,3.138,2.244,0.878
32,2.0,0.8000000000000002,46.0,0.13,3.069,2.22,0.883
33,2.0,0.8500000000000002,46.0,0.136,3.193,2.319,0.873
34,2.0,0.9000000000000002,46.0,0.127,3.072,2.238,0.883
35,2.0,0.9500000000000003,46.0,0.129,3.178,2.298,0.875
36,3.0,0.1,46.0,0.117,4.09,2.611,0.749
37,3.0,0.15000000000000002,46.0,0.111,3.211,2.288,0.845
38,3.0,0.2,46.0,0.111,2.905,2.178,0.873
39,3.0,0.25,46.0,0.102,2.763,1.975,0.886
40,3.0,0.3,46.0,0.087,2.532,1.858,0.904
41,3.0,0.35,46.0,0.101,2.727,2.029,0.888
42,3.0,0.39999999999999997,46.0,0.082,2.48,1.768,0.908
43,3.0,0.44999999999999996,46.0,0.079,2.284,1.66,0.922
44,3.0,0.49999999999999994,46.0,0.083,2.315,1.771,0.92
45,3.0,0.5499999999999999,46.0,0.086,2.31,1.755,0.92
46,3.0,0.6,46.0,0.09,2.48,1.875,0.908
47,3.0,0.65,46.0,0.083,2.247,1.702,0.924
