,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.184,6.757,4.447,0.435
1,1.0,0.15000000000000002,46.0,0.188,6.315,4.371,0.507
2,1.0,0.2,46.0,0.162,4.77,3.338,0.719
3,1.0,0.25,46.0,0.165,4.571,3.333,0.742
4,1.0,0.3,46.0,0.163,4.642,3.379,0.734
5,1.0,0.35,46.0,0.171,4.605,3.466,0.738
6,1.0,0.39999999999999997,46.0,0.173,4.557,3.491,0.743
7,1.0,0.44999999999999996,46.0,0.161,4.444,3.299,0.756
8,1.0,0.49999999999999994,46.0,0.159,4.452,3.315,0.755
9,1.0,0.5499999999999999,46.0,0.155,4.409,3.251,0.76
10,1.0,0.6,46.0,0.152,4.368,3.183,0.764
11,1.0,0.65,46.0,0.151,4.329,3.165,0.768
12,1.0,0.7000000000000001,46.0,0.147,4.413,3.15,0.759
13,1.0,0.7500000000000001,46.0,0.14,4.239,2.984,0.778
14,1.0,0.8000000000000002,46.0,0.14,4.218,2.978,0.78
15,1.0,0.8500000000000002,46.0,0.141,4.306,3.038,0.771
16,1.0,0.9000000000000002,46.0,0.142,4.181,2.996,0.784
17,1.0,0.9500000000000003,46.0,0.139,4.158,2.948,0.786
18,2.0,0.1,46.0,0.148,4.534,2.969,0.745
19,2.0,0.15000000000000002,46.0,0.162,3.655,2.663,0.834
20,2.0,0.2,46.0,0.16,3.615,2.68,0.838
21,2.0,0.25,46.0,0.159,3.777,2.662,0.823
22,2.0,0.3,46.0,0.154,3.431,2.524,0.854
23,2.0,0.35,46.0,0.132,3.127,2.332,0.879
24,2.0,0.39999999999999997,46.0,0.122,3.12,2.241,0.879
25,2.0,0.44999999999999996,46.0,0.13,3.269,2.327,0.867
26,2.0,0.49999999999999994,46.0,0.126,3.128,2.263,0.878
27,2.0,0.5499999999999999,46.0,0.123,3.119,2.201,0.879
28,2.0,0.6,46.0,0.122,3.026,2.128,0.886
29,2.0,0.65,46.0,0.138,3.163,2.274,0.876
30,2.0,0.7000000000000001,46.0,0.135,3.246,2.263,0.869
31,2.0,0.7500000000000001,46.0,0.128,3.181,2.223,0.874
32,2.0,0.8000000000000002,46.0,0.127,3.109,2.193,0.88
33,2.0,0.8500000000000002,46.0,0.123,3.119,2.135,0.879
34,2.0,0.9000000000000002,46.0,0.122,3.01,2.078,0.887
35,2.0,0.9500000000000003,46.0,0.123,3.007,2.135,0.888
36,3.0,0.1,46.0,0.12,3.7,2.452,0.795
37,3.0,0.15000000000000002,46.0,0.118,3.223,2.327,0.844
38,3.0,0.2,46.0,0.126,3.182,2.412,0.848
39,3.0,0.25,46.0,0.119,3.018,2.306,0.863
40,3.0,0.3,46.0,0.103,2.901,2.203,0.874
41,3.0,0.35,46.0,0.095,2.633,1.968,0.896
42,3.0,0.39999999999999997,46.0,0.089,2.537,1.858,0.904
43,3.0,0.44999999999999996,46.0,0.09,2.448,1.821,0.91
44,3.0,0.49999999999999994,46.0,0.095,2.545,1.949,0.903
45,3.0,0.5499999999999999,46.0,0.114,2.68,2.073,0.892
46,3.0,0.6,46.0,0.098,2.584,1.989,0.9
47,3.0,0.65,46.0,0.095,2.551,1.927,0.902
48,3.0,0.7000000000000001,46.0,0.092,2.423,1.871,0.912
49,3.0,0.7500000000000001,46.0,0.086,2.392,1.81,0.914
50,3.0,0.8000000000000002,46.0,0.086,2.413,1.819,0.913
51,3.0,0.8500000000000002,46.0,0.085,2.361,1.823,0.916
52,3.0,0.9000000000000002,46.0,0.084,2.435,1.826,0.911
53,3.0,0.9500000000000003,46.0,0.084,2.333,1.787,0.918
54,4.0,0.1,46.0,0.128,4.809,3.131,0.654
55,4.0,0.15000000000000002,46.0,0.103,2.852,2.147,0.879
56,4.0,0.2,46.0,0.095,2.81,1.938,0.882
57,4.0,0.25,46.0,0.091,2.303,1.831,0.921
58,4.0,0.3,46.0,0.09,2.443,1.824,0.911
59,4.0,0.35,46.0,0.085,2.352,1.715,0.917
60,4.0,0.39999999999999997,46.0,0.084,2.34,1.67,0.918
61,4.0,0.44999999999999996,46.0,0.076,2.224,1.556,0.926
62,4.0,0.49999999999999994,46.0,0.076,2.269,1.523,0.923
63,4.0,0.5499999999999999,46.0,0.071,2.136,1.416,0.932
64,4.0,0.6,46.0,0.077,2.28,1.545,0.922
65,4.0,0.65,46.0,0.08,2.238,1.573,0.925
66,4.0,0.7000000000000001,46.0,0.08,2.184,1.555,0.929
67,4.0,0.7500000000000001,46.0,0.078,2.27,1.575,0.923
68,4.0,0.8000000000000002,46.0,0.077,2.145,1.51,0.931
69,4.0,0.8500000000000002,46.0,0.065,1.625,1.254,0.961
70,4.0,0.9000000000000002,46.0,0.072,1.859,1.461,0.948
71,4.0,0.9500000000000003,46.0,0.07,1.755,1.389,0.954
72,5.0,0.1,46.0,0.142,4.256,3.027,0.669
73,5.0,0.15000000000000002,46.0,0.14,3.82,2.822,0.734
74,5.0,0.2,46.0,0.144,4.054,2.918,0.7
75,5.0,0.25,46.0,0.137,3.736,2.708,0.745
76,5.0,0.3,46.0,0.126,3.667,2.56,0.755
77,5.0,0.35,46.0,0.115,3.749,2.43,0.743
78,5.0,0.39999999999999997,46.0,0.107,3.59,2.356,0.765
79,5.0,0.44999999999999996,46.0,0.113,3.705,2.441,0.749
80,5.0,0.49999999999999994,46.0,0.109,3.443,2.324,0.784
81,5.0,0.5499999999999999,46.0,0.115,3.696,2.451,0.751
82,5.0,0.6,46.0,0.109,3.436,2.3,0.785
83,5.0,0.65,46.0,0.11,3.537,2.368,0.772
84,5.0,0.7000000000000001,46.0,0.108,3.494,2.329,0.777
85,5.0,0.7500000000000001,46.0,0.108,3.416,2.322,0.787
86,5.0,0.8000000000000002,46.0,0.104,3.413,2.252,0.787
87,5.0,0.8500000000000002,46.0,0.104,3.405,2.267,0.788
88,5.0,0.9000000000000002,46.0,0.104,3.458,2.258,0.782
89,5.0,0.9500000000000003,46.0,0.102,3.433,2.201,0.785
90,6.0,0.1,45.0,0.15,5.84,3.797,0.663
91,6.0,0.15000000000000002,45.0,0.116,3.77,2.665,0.86
92,6.0,0.2,45.0,0.127,3.885,2.715,0.851
93,6.0,0.25,45.0,0.113,3.707,2.579,0.864
94,6.0,0.3,45.0,0.119,3.832,2.685,0.855
95,6.0,0.35,45.0,0.113,3.881,2.583,0.851
96,6.0,0.39999999999999997,45.0,0.111,3.542,2.447,0.876
97,6.0,0.44999999999999996,45.0,0.118,3.785,2.535,0.859
98,6.0,0.49999999999999994,45.0,0.124,3.691,2.627,0.865
99,6.0,0.5499999999999999,45.0,0.116,3.695,2.488,0.865
100,6.0,0.6,45.0,0.123,3.794,2.599,0.858
101,6.0,0.65,45.0,0.117,3.798,2.494,0.858
102,6.0,0.7000000000000001,45.0,0.117,3.776,2.493,0.859
103,6.0,0.7500000000000001,45.0,0.115,3.712,2.443,0.864
104,6.0,0.8000000000000002,45.0,0.109,3.469,2.282,0.881
105,6.0,0.8500000000000002,45.0,0.112,3.377,2.294,0.887
106,6.0,0.9000000000000002,45.0,0.112,3.367,2.294,0.888
107,6.0,0.9500000000000003,45.0,0.109,3.539,2.248,0.876
108,7.0,0.1,45.0,0.155,3.952,2.997,0.758
109,7.0,0.15000000000000002,45.0,0.152,3.454,2.379,0.815
110,7.0,0.2,45.0,0.16,3.566,2.578,0.803
111,7.0,0.25,45.0,0.153,3.373,2.43,0.824
112,7.0,0.3,45.0,0.147,3.105,2.329,0.851
113,7.0,0.35,45.0,0.148,3.311,2.29,0.83
114,7.0,0.39999999999999997,45.0,0.144,3.038,2.27,0.857
115,7.0,0.44999999999999996,45.0,0.158,3.33,2.51,0.828
116,7.0,0.49999999999999994,45.0,0.142,3.109,2.291,0.85
117,7.0,0.5499999999999999,45.0,0.127,2.902,2.181,0.87
118,7.0,0.6,45.0,0.133,3.091,2.273,0.852
119,7.0,0.65,45.0,0.137,3.066,2.354,0.855
