,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.159,5.55,3.855,0.619
1,1.0,0.15000000000000002,46.0,0.168,6.009,4.08,0.553
2,1.0,0.2,46.0,0.165,5.59,3.84,0.614
3,1.0,0.25,46.0,0.168,5.29,3.785,0.654
4,1.0,0.3,46.0,0.161,5.128,3.625,0.675
5,1.0,0.35,46.0,0.157,4.782,3.503,0.717
6,1.0,0.39999999999999997,46.0,0.149,4.286,3.161,0.773
7,1.0,0.44999999999999996,46.0,0.143,4.228,3.025,0.779
8,1.0,0.49999999999999994,46.0,0.153,4.433,3.227,0.757
9,1.0,0.5499999999999999,46.0,0.154,4.445,3.261,0.756
10,1.0,0.6,46.0,0.146,4.205,3.076,0.781
11,1.0,0.65,46.0,0.141,4.206,3.016,0.781
12,1.0,0.7000000000000001,46.0,0.141,4.277,3.037,0.774
13,1.0,0.7500000000000001,46.0,0.146,4.362,3.121,0.765
14,1.0,0.8000000000000002,46.0,0.147,4.353,3.145,0.766
15,1.0,0.8500000000000002,46.0,0.139,4.104,2.987,0.792
16,1.0,0.9000000000000002,46.0,0.14,4.074,2.978,0.795
17,1.0,0.9500000000000003,46.0,0.143,4.186,3.029,0.783
18,2.0,0.1,46.0,0.17,4.516,3.132,0.747
19,2.0,0.15000000000000002,46.0,0.161,3.966,2.946,0.805
20,2.0,0.2,46.0,0.142,3.451,2.522,0.852
21,2.0,0.25,46.0,0.134,3.441,2.385,0.853
22,2.0,0.3,46.0,0.123,2.986,2.206,0.889
23,2.0,0.35,46.0,0.135,3.246,2.241,0.869
24,2.0,0.39999999999999997,46.0,0.141,3.313,2.404,0.864
25,2.0,0.44999999999999996,46.0,0.131,3.229,2.309,0.871
26,2.0,0.49999999999999994,46.0,0.123,3.067,2.204,0.883
27,2.0,0.5499999999999999,46.0,0.125,3.031,2.147,0.886
28,2.0,0.6,46.0,0.125,2.958,2.163,0.891
29,2.0,0.65,46.0,0.124,2.935,2.176,0.893
30,2.0,0.7000000000000001,46.0,0.126,3.045,2.201,0.885
31,2.0,0.7500000000000001,46.0,0.124,2.993,2.188,0.889
32,2.0,0.8000000000000002,46.0,0.127,3.01,2.247,0.887
33,2.0,0.8500000000000002,46.0,0.13,3.029,2.296,0.886
34,2.0,0.9000000000000002,46.0,0.129,3.128,2.282,0.878
35,2.0,0.9500000000000003,46.0,0.125,2.948,2.182,0.892
36,3.0,0.1,46.0,0.133,3.387,2.608,0.828
37,3.0,0.15000000000000002,46.0,0.127,3.297,2.472,0.837
38,3.0,0.2,46.0,0.128,3.142,2.447,0.852
39,3.0,0.25,46.0,0.114,2.738,2.185,0.888
40,3.0,0.3,46.0,0.102,2.673,2.014,0.893
41,3.0,0.35,46.0,0.099,2.608,1.994,0.898
42,3.0,0.39999999999999997,46.0,0.083,2.375,1.775,0.915
43,3.0,0.44999999999999996,46.0,0.089,2.414,1.807,0.913
44,3.0,0.49999999999999994,46.0,0.081,2.357,1.713,0.917
45,3.0,0.5499999999999999,46.0,0.079,2.399,1.742,0.914
46,3.0,0.6,46.0,0.076,2.374,1.667,0.915
47,3.0,0.65,46.0,0.079,2.308,1.718,0.92
48,3.0,0.7000000000000001,46.0,0.073,2.297,1.633,0.921
49,3.0,0.7500000000000001,46.0,0.072,2.079,1.537,0.935
50,3.0,0.8000000000000002,46.0,0.07,2.101,1.523,0.934
51,3.0,0.8500000000000002,46.0,0.068,1.868,1.406,0.948
52,3.0,0.9000000000000002,46.0,0.081,2.184,1.703,0.928
53,3.0,0.9500000000000003,46.0,0.073,1.899,1.494,0.946
54,4.0,0.1,46.0,0.111,2.957,2.315,0.869
55,4.0,0.15000000000000002,46.0,0.088,2.228,1.772,0.926
56,4.0,0.2,46.0,0.081,1.994,1.626,0.941
57,4.0,0.25,46.0,0.088,2.198,1.859,0.928
58,4.0,0.3,46.0,0.084,2.203,1.672,0.927
59,4.0,0.35,46.0,0.087,2.122,1.698,0.933
60,4.0,0.39999999999999997,46.0,0.077,1.958,1.562,0.943
61,4.0,0.44999999999999996,46.0,0.074,1.877,1.475,0.947
62,4.0,0.49999999999999994,46.0,0.065,1.741,1.312,0.955
63,4.0,0.5499999999999999,46.0,0.061,1.595,1.252,0.962
64,4.0,0.6,46.0,0.058,1.676,1.202,0.958
65,4.0,0.65,46.0,0.063,1.725,1.262,0.956
66,4.0,0.7000000000000001,46.0,0.059,1.557,1.149,0.964
67,4.0,0.7500000000000001,46.0,0.065,1.712,1.291,0.956
68,4.0,0.8000000000000002,46.0,0.069,1.781,1.347,0.953
69,4.0,0.8500000000000002,46.0,0.071,1.741,1.394,0.955
70,4.0,0.9000000000000002,46.0,0.07,1.722,1.365,0.956
71,4.0,0.9500000000000003,46.0,0.066,1.693,1.289,0.957
72,5.0,0.1,46.0,0.151,4.052,3.163,0.7
73,5.0,0.15000000000000002,46.0,0.141,3.648,2.786,0.757
74,5.0,0.2,46.0,0.143,3.872,2.81,0.726
75,5.0,0.25,46.0,0.152,4.013,2.956,0.706
76,5.0,0.3,46.0,0.122,3.586,2.581,0.765
77,5.0,0.35,46.0,0.112,3.254,2.378,0.807
78,5.0,0.39999999999999997,46.0,0.115,3.384,2.483,0.791
79,5.0,0.44999999999999996,46.0,0.114,3.408,2.427,0.788
80,5.0,0.49999999999999994,46.0,0.111,3.403,2.424,0.789
81,5.0,0.5499999999999999,46.0,0.104,3.178,2.229,0.816
82,5.0,0.6,46.0,0.108,3.212,2.302,0.812
83,5.0,0.65,46.0,0.108,3.269,2.313,0.805
84,5.0,0.7000000000000001,46.0,0.103,3.261,2.216,0.806
85,5.0,0.7500000000000001,46.0,0.101,3.224,2.195,0.81
86,5.0,0.8000000000000002,46.0,0.105,3.282,2.266,0.803
87,5.0,0.8500000000000002,46.0,0.1,3.276,2.172,0.804
88,5.0,0.9000000000000002,46.0,0.097,3.323,2.139,0.798
89,5.0,0.9500000000000003,46.0,0.092,3.21,2.049,0.812
90,6.0,0.1,45.0,0.162,5.093,3.41,0.744
91,6.0,0.15000000000000002,45.0,0.166,5.031,3.512,0.75
92,6.0,0.2,45.0,0.15,3.678,2.807,0.866
93,6.0,0.25,45.0,0.145,3.415,2.621,0.885
94,6.0,0.3,45.0,0.142,3.159,2.471,0.901
95,6.0,0.35,45.0,0.128,3.028,2.416,0.909
96,6.0,0.39999999999999997,45.0,0.121,3.033,2.399,0.909
97,6.0,0.44999999999999996,45.0,0.115,2.918,2.261,0.916
98,6.0,0.49999999999999994,45.0,0.122,3.057,2.378,0.908
99,6.0,0.5499999999999999,45.0,0.107,2.812,2.065,0.922
100,6.0,0.6,45.0,0.106,2.782,2.071,0.924
101,6.0,0.65,45.0,0.107,2.763,2.115,0.925
102,6.0,0.7000000000000001,45.0,0.105,2.674,2.027,0.929
103,6.0,0.7500000000000001,45.0,0.106,2.649,1.996,0.931
104,6.0,0.8000000000000002,45.0,0.11,2.81,2.139,0.922
105,6.0,0.8500000000000002,45.0,0.109,2.729,2.077,0.926
106,6.0,0.9000000000000002,45.0,0.115,2.84,2.187,0.92
107,6.0,0.9500000000000003,45.0,0.104,2.704,1.948,0.928
108,7.0,0.1,45.0,0.156,3.869,2.809,0.768
109,7.0,0.15000000000000002,45.0,0.154,3.693,2.773,0.789
110,7.0,0.2,45.0,0.157,3.443,2.442,0.817
111,7.0,0.25,45.0,0.152,3.218,2.395,0.84
112,7.0,0.3,45.0,0.148,3.026,2.303,0.858
113,7.0,0.35,45.0,0.143,3.123,2.218,0.849
114,7.0,0.39999999999999997,45.0,0.133,2.891,2.128,0.871
115,7.0,0.44999999999999996,45.0,0.127,2.718,2.087,0.886
116,7.0,0.49999999999999994,45.0,0.117,2.672,2.015,0.89
117,7.0,0.5499999999999999,45.0,0.122,2.852,2.057,0.874
118,7.0,0.6,45.0,0.12,2.724,2.057,0.885
119,7.0,0.65,45.0,0.116,2.521,1.927,0.902
120,7.0,0.7000000000000001,45.0,0.125,2.772,2.033,0.881
121,7.0,0.7500000000000001,45.0,0.132,2.854,2.098,0.874
122,7.0,0.8000000000000002,45.0,0.134,2.911,2.116,0.869
123,7.0,0.8500000000000002,45.0,0.133,2.981,2.144,0.863
124,7.0,0.9000000000000002,45.0,0.13,2.881,2.108,0.872
125,7.0,0.9500000000000003,45.0,0.128,2.832,2.008,0.876
126,8.0,0.1,45.0,0.193,10.041,6.114,0.16
127,8.0,0.15000000000000002,45.0,0.137,6.111,3.938,0.689
128,8.0,0.2,45.0,0.109,4.087,2.66,0.861
129,8.0,0.25,45.0,0.107,4.182,2.561,0.854
130,8.0,0.3,45.0,0.092,3.964,2.317,0.869
131,8.0,0.35,45.0,0.094,3.901,2.348,0.873
132,8.0,0.39999999999999997,45.0,0.101,3.834,2.417,0.877
133,8.0,0.44999999999999996,45.0,0.105,3.805,2.448,0.879
134,8.0,0.49999999999999994,45.0,0.096,3.962,2.352,0.869
135,8.0,0.5499999999999999,45.0,0.095,4.006,2.29,0.866
136,8.0,0.6,45.0,0.104,3.938,2.437,0.871
137,8.0,0.65,45.0,0.098,3.948,2.341,0.87
138,8.0,0.7000000000000001,45.0,0.097,3.896,2.308,0.873
139,8.0,0.7500000000000001,45.0,0.093,3.797,2.256,0.88
140,8.0,0.8000000000000002,45.0,0.094,3.768,2.255,0.882
141,8.0,0.8500000000000002,45.0,0.09,3.618,2.152,0.891
142,8.0,0.9000000000000002,45.0,0.092,3.539,2.182,0.896
143,8.0,0.9500000000000003,45.0,0.089,3.487,2.081,0.899
144,9.0,0.1,45.0,0.218,9.728,5.514,0.293
145,9.0,0.15000000000000002,45.0,0.166,5.031,3.455,0.811
146,9.0,0.2,45.0,0.153,3.813,2.823,0.891
147,9.0,0.25,45.0,0.126,3.572,2.661,0.905
148,9.0,0.3,45.0,0.127,3.565,2.613,0.905
149,9.0,0.35,45.0,0.131,3.668,2.732,0.899
150,9.0,0.39999999999999997,45.0,0.119,3.675,2.674,0.899
151,9.0,0.44999999999999996,45.0,0.104,3.323,2.336,0.917
152,9.0,0.49999999999999994,45.0,0.113,3.426,2.477,0.912
153,9.0,0.5499999999999999,45.0,0.108,3.093,2.304,0.929
154,9.0,0.6,45.0,0.104,2.956,2.17,0.935
155,9.0,0.65,45.0,0.1,2.965,2.098,0.934
156,9.0,0.7000000000000001,45.0,0.099,2.949,2.114,0.935
157,9.0,0.7500000000000001,45.0,0.095,2.913,2.049,0.937
158,9.0,0.8000000000000002,45.0,0.099,3.081,2.126,0.929
159,9.0,0.8500000000000002,45.0,0.097,2.836,2.045,0.94
160,9.0,0.9000000000000002,45.0,0.092,2.758,1.913,0.943
161,9.0,0.9500000000000003,45.0,0.087,2.895,1.921,0.937
162,10.0,0.1,45.0,0.167,4.478,3.091,0.651
163,10.0,0.15000000000000002,45.0,0.165,3.436,2.558,0.795
164,10.0,0.2,45.0,0.152,3.142,2.298,0.828
165,10.0,0.25,45.0,0.133,2.75,2.015,0.868
166,10.0,0.3,45.0,0.131,2.835,1.989,0.86
167,10.0,0.35,45.0,0.132,2.943,2.123,0.849
168,10.0,0.39999999999999997,45.0,0.122,2.802,1.965,0.863
169,10.0,0.44999999999999996,45.0,0.116,2.589,1.943,0.883
170,10.0,0.49999999999999994,45.0,0.114,2.593,1.901,0.883
171,10.0,0.5499999999999999,45.0,0.119,2.667,2.032,0.876
172,10.0,0.6,45.0,0.12,2.707,1.989,0.873
173,10.0,0.65,45.0,0.11,2.453,1.873,0.895
174,10.0,0.7000000000000001,45.0,0.104,2.392,1.739,0.9
175,10.0,0.7500000000000001,45.0,0.101,2.353,1.647,0.904
176,10.0,0.8000000000000002,45.0,0.106,2.37,1.713,0.902
177,10.0,0.8500000000000002,45.0,0.104,2.434,1.691,0.897
178,10.0,0.9000000000000002,45.0,0.103,2.389,1.653,0.901
179,10.0,0.9500000000000003,45.0,0.108,2.484,1.747,0.893
