,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.169,5.458,3.885,0.632
1,1.0,0.15000000000000002,46.0,0.159,4.76,3.373,0.72
2,1.0,0.2,46.0,0.173,4.741,3.427,0.722
3,1.0,0.25,46.0,0.172,4.807,3.459,0.714
4,1.0,0.3,46.0,0.156,4.47,3.194,0.753
5,1.0,0.35,46.0,0.155,4.379,3.19,0.763
6,1.0,0.39999999999999997,46.0,0.15,4.224,3.058,0.779
7,1.0,0.44999999999999996,46.0,0.152,4.188,3.088,0.783
8,1.0,0.49999999999999994,46.0,0.148,4.061,3.006,0.796
9,1.0,0.5499999999999999,46.0,0.148,4.176,3.039,0.784
10,1.0,0.6,46.0,0.155,4.146,3.064,0.787
11,1.0,0.65,46.0,0.151,4.077,3.006,0.794
12,1.0,0.7000000000000001,46.0,0.139,3.915,2.877,0.81
13,1.0,0.7500000000000001,46.0,0.141,4.072,2.947,0.795
14,1.0,0.8000000000000002,46.0,0.138,3.926,2.816,0.809
15,1.0,0.8500000000000002,46.0,0.134,3.952,2.773,0.807
16,1.0,0.9000000000000002,46.0,0.133,3.888,2.733,0.813
17,1.0,0.9500000000000003,46.0,0.132,3.807,2.705,0.821
18,2.0,0.1,46.0,0.172,4.846,3.3,0.708
19,2.0,0.15000000000000002,46.0,0.166,3.951,2.961,0.806
20,2.0,0.2,46.0,0.158,3.797,2.735,0.821
21,2.0,0.25,46.0,0.145,3.462,2.518,0.851
22,2.0,0.3,46.0,0.144,3.436,2.461,0.853
23,2.0,0.35,46.0,0.127,3.196,2.3,0.873
24,2.0,0.39999999999999997,46.0,0.119,2.98,2.105,0.89
25,2.0,0.44999999999999996,46.0,0.13,3.116,2.243,0.879
26,2.0,0.49999999999999994,46.0,0.131,3.199,2.316,0.873
27,2.0,0.5499999999999999,46.0,0.127,3.106,2.241,0.88
28,2.0,0.6,46.0,0.129,3.214,2.33,0.872
29,2.0,0.65,46.0,0.132,3.273,2.428,0.867
30,2.0,0.7000000000000001,46.0,0.134,3.175,2.283,0.875
31,2.0,0.7500000000000001,46.0,0.128,3.161,2.287,0.876
