,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.186,7.835,4.804,0.241
1,1.0,0.15000000000000002,46.0,0.163,5.421,3.641,0.637
2,1.0,0.2,46.0,0.158,4.623,3.351,0.736
3,1.0,0.25,46.0,0.174,4.607,3.527,0.738
4,1.0,0.3,46.0,0.162,4.564,3.354,0.742
5,1.0,0.35,46.0,0.166,4.627,3.352,0.735
6,1.0,0.39999999999999997,46.0,0.177,4.666,3.506,0.731
7,1.0,0.44999999999999996,46.0,0.168,4.806,3.383,0.714
8,1.0,0.49999999999999994,46.0,0.163,4.584,3.361,0.74
9,1.0,0.5499999999999999,46.0,0.155,4.48,3.188,0.752
10,1.0,0.6,46.0,0.16,4.489,3.264,0.751
11,1.0,0.65,46.0,0.153,4.407,3.144,0.76
12,1.0,0.7000000000000001,46.0,0.147,4.281,3.07,0.773
13,1.0,0.7500000000000001,46.0,0.143,4.215,3.006,0.78
14,1.0,0.8000000000000002,46.0,0.149,4.342,3.138,0.767
15,1.0,0.8500000000000002,46.0,0.148,4.207,3.112,0.781
16,1.0,0.9000000000000002,46.0,0.138,4.018,2.863,0.8
17,1.0,0.9500000000000003,46.0,0.138,4.083,2.874,0.794
18,2.0,0.1,46.0,0.169,5.095,3.512,0.678
19,2.0,0.15000000000000002,46.0,0.162,4.917,3.21,0.7
20,2.0,0.2,46.0,0.152,3.781,2.814,0.822
21,2.0,0.25,46.0,0.154,3.656,2.719,0.834
22,2.0,0.3,46.0,0.125,3.368,2.404,0.859
23,2.0,0.35,46.0,0.133,3.334,2.411,0.862
24,2.0,0.39999999999999997,46.0,0.134,3.418,2.419,0.855
25,2.0,0.44999999999999996,46.0,0.137,3.558,2.479,0.843
26,2.0,0.49999999999999994,46.0,0.14,3.586,2.538,0.84
27,2.0,0.5499999999999999,46.0,0.139,3.421,2.469,0.855
28,2.0,0.6,46.0,0.138,3.467,2.45,0.851
29,2.0,0.65,46.0,0.133,3.236,2.366,0.87
30,2.0,0.7000000000000001,46.0,0.132,3.154,2.277,0.876
31,2.0,0.7500000000000001,46.0,0.126,3.142,2.198,0.877
32,2.0,0.8000000000000002,46.0,0.128,3.174,2.232,0.875
33,2.0,0.8500000000000002,46.0,0.126,3.118,2.124,0.879
34,2.0,0.9000000000000002,46.0,0.124,3.082,2.115,0.882
35,2.0,0.9500000000000003,46.0,0.123,3.13,2.161,0.878
36,3.0,0.1,46.0,0.181,6.158,4.004,0.431
37,3.0,0.15000000000000002,46.0,0.126,2.786,2.305,0.884
38,3.0,0.2,46.0,0.118,3.226,2.355,0.844
39,3.0,0.25,46.0,0.114,2.865,2.228,0.877
40,3.0,0.3,46.0,0.099,2.933,2.116,0.871
41,3.0,0.35,46.0,0.109,3.261,2.302,0.841
42,3.0,0.39999999999999997,46.0,0.091,3.042,2.015,0.861
43,3.0,0.44999999999999996,46.0,0.09,2.79,1.938,0.883
44,3.0,0.49999999999999994,46.0,0.092,2.821,2.025,0.881
45,3.0,0.5499999999999999,46.0,0.092,2.794,2.043,0.883
46,3.0,0.6,46.0,0.081,2.527,1.811,0.904
47,3.0,0.65,46.0,0.09,2.569,1.955,0.901
48,3.0,0.7000000000000001,46.0,0.08,2.428,1.783,0.912
49,3.0,0.7500000000000001,46.0,0.079,2.232,1.676,0.925
50,3.0,0.8000000000000002,46.0,0.08,2.282,1.704,0.922
51,3.0,0.8500000000000002,46.0,0.082,2.167,1.726,0.93
52,3.0,0.9000000000000002,46.0,0.082,2.305,1.766,0.92
53,3.0,0.9500000000000003,46.0,0.081,2.171,1.7,0.929
54,4.0,0.1,46.0,0.115,3.106,2.421,0.856
55,4.0,0.15000000000000002,46.0,0.112,2.774,2.26,0.885
56,4.0,0.2,46.0,0.116,2.865,2.266,0.877
57,4.0,0.25,46.0,0.095,2.592,1.939,0.9
58,4.0,0.3,46.0,0.092,2.341,1.823,0.918
59,4.0,0.35,46.0,0.093,2.4,1.855,0.914
60,4.0,0.39999999999999997,46.0,0.091,2.322,1.787,0.919
61,4.0,0.44999999999999996,46.0,0.105,2.552,2.035,0.903
62,4.0,0.49999999999999994,46.0,0.086,2.267,1.761,0.923
63,4.0,0.5499999999999999,46.0,0.085,2.135,1.695,0.932
64,4.0,0.6,46.0,0.08,1.993,1.591,0.941
65,4.0,0.65,46.0,0.077,1.962,1.535,0.943
66,4.0,0.7000000000000001,46.0,0.076,1.836,1.484,0.95
67,4.0,0.7500000000000001,46.0,0.072,1.759,1.394,0.954
68,4.0,0.8000000000000002,46.0,0.065,1.691,1.307,0.957
69,4.0,0.8500000000000002,46.0,0.067,1.721,1.366,0.956
70,4.0,0.9000000000000002,46.0,0.067,1.719,1.37,0.956
71,4.0,0.9500000000000003,46.0,0.067,1.678,1.329,0.958
72,5.0,0.1,46.0,0.154,4.518,3.308,0.627
73,5.0,0.15000000000000002,46.0,0.148,4.05,3.113,0.701
74,5.0,0.2,46.0,0.139,3.83,2.81,0.732
75,5.0,0.25,46.0,0.12,3.381,2.484,0.791
76,5.0,0.3,46.0,0.12,3.607,2.568,0.763
77,5.0,0.35,46.0,0.118,3.568,2.485,0.768
78,5.0,0.39999999999999997,46.0,0.113,3.346,2.393,0.796
79,5.0,0.44999999999999996,46.0,0.112,3.449,2.462,0.783
80,5.0,0.49999999999999994,46.0,0.113,3.522,2.441,0.774
81,5.0,0.5499999999999999,46.0,0.102,3.415,2.263,0.787
82,5.0,0.6,46.0,0.106,3.403,2.32,0.789
83,5.0,0.65,46.0,0.103,3.332,2.261,0.797
84,5.0,0.7000000000000001,46.0,0.103,3.231,2.243,0.809
85,5.0,0.7500000000000001,46.0,0.106,3.401,2.325,0.789
86,5.0,0.8000000000000002,46.0,0.103,3.378,2.282,0.792
