,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.17,5.33,3.747,0.649
1,1.0,0.15000000000000002,46.0,0.17,4.969,3.617,0.695
2,1.0,0.2,46.0,0.167,4.446,3.384,0.756
3,1.0,0.25,46.0,0.164,4.287,3.262,0.773
4,1.0,0.3,46.0,0.161,4.229,3.192,0.779
5,1.0,0.35,46.0,0.153,4.089,3.023,0.793
6,1.0,0.39999999999999997,46.0,0.14,4.027,2.969,0.799
7,1.0,0.44999999999999996,46.0,0.135,4.007,2.96,0.801
8,1.0,0.49999999999999994,46.0,0.136,4.05,2.976,0.797
9,1.0,0.5499999999999999,46.0,0.139,4.19,3.044,0.783
10,1.0,0.6,46.0,0.131,4.069,2.851,0.795
11,1.0,0.65,46.0,0.136,4.054,2.911,0.797
12,1.0,0.7000000000000001,46.0,0.132,4.025,2.805,0.8
13,1.0,0.7500000000000001,46.0,0.136,4.042,2.878,0.798
14,1.0,0.8000000000000002,46.0,0.135,4.004,2.864,0.802
15,1.0,0.8500000000000002,46.0,0.137,4.067,2.915,0.795
16,1.0,0.9000000000000002,46.0,0.132,3.971,2.777,0.805
17,1.0,0.9500000000000003,46.0,0.135,4.042,2.868,0.798
18,2.0,0.1,46.0,0.207,5.188,3.578,0.666
19,2.0,0.15000000000000002,46.0,0.198,4.296,3.072,0.771
20,2.0,0.2,46.0,0.202,4.304,2.94,0.77
21,2.0,0.25,46.0,0.212,4.269,3.06,0.774
22,2.0,0.3,46.0,0.168,3.708,2.762,0.829
23,2.0,0.35,46.0,0.144,3.459,2.543,0.851
24,2.0,0.39999999999999997,46.0,0.137,3.288,2.345,0.866
25,2.0,0.44999999999999996,46.0,0.143,3.468,2.497,0.851
26,2.0,0.49999999999999994,46.0,0.132,3.206,2.274,0.872
27,2.0,0.5499999999999999,46.0,0.131,3.231,2.334,0.87
28,2.0,0.6,46.0,0.128,3.277,2.366,0.867
29,2.0,0.65,46.0,0.123,3.151,2.298,0.877
30,2.0,0.7000000000000001,46.0,0.124,3.125,2.324,0.879
31,2.0,0.7500000000000001,46.0,0.132,3.119,2.302,0.879
32,2.0,0.8000000000000002,46.0,0.138,3.142,2.392,0.877
33,2.0,0.8500000000000002,46.0,0.134,3.119,2.289,0.879
34,2.0,0.9000000000000002,46.0,0.143,3.319,2.425,0.863
35,2.0,0.9500000000000003,46.0,0.138,3.227,2.366,0.871
36,3.0,0.1,46.0,0.152,3.633,2.843,0.802
37,3.0,0.15000000000000002,46.0,0.143,3.263,2.472,0.84
38,3.0,0.2,46.0,0.139,3.355,2.588,0.831
39,3.0,0.25,46.0,0.147,3.33,2.696,0.834
40,3.0,0.3,46.0,0.127,3.031,2.416,0.862
41,3.0,0.35,46.0,0.127,3.204,2.474,0.846
42,3.0,0.39999999999999997,46.0,0.108,3.038,2.247,0.862
43,3.0,0.44999999999999996,46.0,0.103,2.763,2.03,0.886
44,3.0,0.49999999999999994,46.0,0.102,2.785,2.09,0.884
45,3.0,0.5499999999999999,46.0,0.091,2.544,1.909,0.903
46,3.0,0.6,46.0,0.095,2.601,1.941,0.899
47,3.0,0.65,46.0,0.089,2.458,1.875,0.909
48,3.0,0.7000000000000001,46.0,0.089,2.371,1.857,0.916
49,3.0,0.7500000000000001,46.0,0.091,2.44,1.863,0.911
50,3.0,0.8000000000000002,46.0,0.088,2.374,1.832,0.915
51,3.0,0.8500000000000002,46.0,0.084,2.216,1.714,0.926
52,3.0,0.9000000000000002,46.0,0.082,2.206,1.659,0.927
53,3.0,0.9500000000000003,46.0,0.083,2.2,1.691,0.927
54,4.0,0.1,46.0,0.119,4.695,2.848,0.671
55,4.0,0.15000000000000002,46.0,0.098,2.503,1.888,0.906
56,4.0,0.2,46.0,0.095,2.087,1.665,0.935
57,4.0,0.25,46.0,0.106,2.344,1.893,0.918
58,4.0,0.3,46.0,0.09,2.088,1.649,0.935
59,4.0,0.35,46.0,0.075,1.791,1.468,0.952
60,4.0,0.39999999999999997,46.0,0.082,2.011,1.585,0.94
61,4.0,0.44999999999999996,46.0,0.078,1.931,1.558,0.944
62,4.0,0.49999999999999994,46.0,0.072,1.765,1.428,0.953
63,4.0,0.5499999999999999,46.0,0.066,1.646,1.256,0.96
64,4.0,0.6,46.0,0.071,1.746,1.35,0.954
65,4.0,0.65,46.0,0.074,1.84,1.41,0.949
66,4.0,0.7000000000000001,46.0,0.074,1.822,1.413,0.95
67,4.0,0.7500000000000001,46.0,0.076,1.774,1.418,0.953
68,4.0,0.8000000000000002,46.0,0.072,1.73,1.383,0.955
69,4.0,0.8500000000000002,46.0,0.075,1.809,1.453,0.951
70,4.0,0.9000000000000002,46.0,0.072,1.775,1.394,0.953
71,4.0,0.9500000000000003,46.0,0.071,1.783,1.417,0.952
72,5.0,0.1,46.0,0.138,4.442,3.172,0.64
73,5.0,0.15000000000000002,46.0,0.132,3.703,2.807,0.75
74,5.0,0.2,46.0,0.137,3.895,2.852,0.723
75,5.0,0.25,46.0,0.139,3.999,2.862,0.708
76,5.0,0.3,46.0,0.129,3.832,2.662,0.732
77,5.0,0.35,46.0,0.126,3.692,2.591,0.751
78,5.0,0.39999999999999997,46.0,0.126,3.854,2.614,0.729
79,5.0,0.44999999999999996,46.0,0.117,3.678,2.434,0.753
80,5.0,0.49999999999999994,46.0,0.121,3.685,2.486,0.752
81,5.0,0.5499999999999999,46.0,0.121,3.662,2.498,0.755
82,5.0,0.6,46.0,0.117,3.61,2.428,0.762
83,5.0,0.65,46.0,0.112,3.451,2.33,0.783
84,5.0,0.7000000000000001,46.0,0.113,3.57,2.417,0.767
85,5.0,0.7500000000000001,46.0,0.102,3.336,2.229,0.797
86,5.0,0.8000000000000002,46.0,0.1,3.352,2.197,0.795
87,5.0,0.8500000000000002,46.0,0.096,3.342,2.149,0.796
88,5.0,0.9000000000000002,46.0,0.098,3.445,2.158,0.783
89,5.0,0.9500000000000003,46.0,0.106,3.553,2.309,0.77
90,6.0,0.1,45.0,0.179,7.863,4.816,0.389
91,6.0,0.15000000000000002,45.0,0.143,4.952,3.347,0.758
92,6.0,0.2,45.0,0.117,3.257,2.497,0.895
93,6.0,0.25,45.0,0.117,3.185,2.461,0.9
94,6.0,0.3,45.0,0.116,2.912,2.269,0.916
95,6.0,0.35,45.0,0.121,2.92,2.215,0.916
96,6.0,0.39999999999999997,45.0,0.122,2.902,2.22,0.917
97,6.0,0.44999999999999996,45.0,0.115,2.867,2.096,0.919
