,support,mape,rmse,mae,r2
train,751.3,0.04159999999999999,1.8151,1.1528,0.9890000000000001
cv,92.7,0.08809999999999998,3.8891,2.5829,0.9441
unobserved,103.0,0.0938,4.775699999999999,3.0597000000000003,0.9163
