,support,mape,rmse,mae,r2
train,751.3,0.0511,2.2309,1.4324999999999999,0.983
cv,92.7,0.1071,4.5605,3.1024000000000003,0.9231
unobserved,103.0,0.11190000000000003,4.890499999999999,3.3911000000000002,0.9122
