,support,mape,rmse,mae,r2
train,590.6,0.030000000000000006,12898.317200000001,5763.1106,0.9838999999999999
cv,131.4,0.1048,28103.9618,18125.945100000004,0.8698
unobserved,146.0,0.11380000000000001,35373.902500000004,20886.056699999997,0.8178999999999998
