,support,mape,rmse,mae,r2
train,387.5,1.5773492346136932e+16,31.611699999999995,10.063,0.5025000000000001
cv,46.5,3.028767751988681e+16,37.26100000000001,18.5454,-1.9606999999999999
unobserved,52.0,1.8530955271923424e+16,150.98690000000002,39.90930000000001,0.0045000000000000005
