,support,mape,rmse,mae,r2
train,14211.4,0.14689999999999998,36784.1926,25749.824200000003,0.906
cv,1857.6,0.1732,46622.103,31031.507700000006,0.8356999999999999
unobserved,2064.0,0.1692,43854.934199999996,29614.342599999996,0.8599
