,support,mape,rmse,mae,r2
train,1056.6,0.22560000000000002,2891.7409,1715.2637000000002,0.9394
cv,120.4,0.3444,4859.3595000000005,2822.5674999999997,0.8223
unobserved,134.0,0.31370000000000003,4266.7531,2723.3910000000005,0.9057999999999999
