,support,mape,rmse,mae,r2
train,975.6,0.1765,2534.1958,1385.9353999999998,0.9572999999999998
cv,120.4,0.29910000000000003,4774.1393,2593.5505000000003,0.8283000000000001
unobserved,134.0,0.2564,3977.4208,2395.0171,0.9183
