,support,mape,rmse,mae,r2
train,24063.7,0.3633,1774064.2527999997,1128516.3219,0.8662000000000001
cv,2742.3,0.4354,2650804.7176,1424025.7008,0.6959
unobserved,3048.0,0.45620000000000005,2534911.2719,1412483.5932999998,0.6778000000000001
