,support,mape,rmse,mae,r2
train,24063.7,0.3755,1802960.7503999998,1155524.6424,0.8625
cv,2742.3,0.4364,2664698.2063999996,1426934.1144,0.6923999999999999
unobserved,3048.0,0.45550000000000007,2534713.4164,1411558.7897,0.6778000000000001
