,support,mape,rmse,mae,r2
train,4617.0,0.044199999999999996,1004.3234,525.5849999999999,0.9904
cv,540.0,0.0514,1322.228,653.7638,0.9827999999999999
unobserved,600.0,0.051500000000000004,1540.7562999999998,703.7133,0.9754000000000002
