,support,mape,rmse,mae,r2
train,590.9,0.004999999999999999,0.14179999999999998,0.10650000000000001,1.0
cv,69.1,0.0118,0.3694,0.2528,0.9985000000000002
unobserved,77.0,0.014800000000000002,0.4736000000000001,0.28609999999999997,0.9979999999999999
