,support,mape,rmse,mae,r2
train,328.0,0.0508,1.5322,1.0023,0.9710999999999999
cv,45.5,0.12029999999999999,3.278,2.2889000000000004,0.8537000000000001
unobserved,51.0,0.1407,5.693499999999999,3.0785,0.6229
