,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.561,6227.213,4153.922,0.635
1,1.0,0.15000000000000002,121.0,0.429,5490.175,3505.347,0.716
2,1.0,0.2,121.0,0.423,5774.448,3635.603,0.686
3,1.0,0.25,121.0,0.296,5101.155,2841.056,0.755
4,1.0,0.3,121.0,0.329,4568.824,2674.405,0.804
5,1.0,0.35,121.0,0.338,4643.387,2687.943,0.797
6,1.0,0.39999999999999997,121.0,0.279,4683.022,2541.26,0.794
7,1.0,0.44999999999999996,121.0,0.348,4640.791,2697.822,0.797
8,1.0,0.49999999999999994,121.0,0.277,4705.203,2506.837,0.792
9,1.0,0.5499999999999999,121.0,0.298,4661.516,2506.131,0.795
10,1.0,0.6,121.0,0.294,4648.629,2451.209,0.797
11,1.0,0.65,121.0,0.329,4662.014,2684.817,0.795
12,1.0,0.7000000000000001,121.0,0.359,4469.63,2636.396,0.812
13,1.0,0.7500000000000001,121.0,0.349,4516.11,2614.898,0.808
14,1.0,0.8000000000000002,121.0,0.357,4510.557,2617.487,0.808
15,1.0,0.8500000000000002,121.0,0.357,4502.747,2673.268,0.809
16,1.0,0.9000000000000002,121.0,0.349,4441.808,2617.952,0.814
17,1.0,0.9500000000000003,121.0,0.356,4495.726,2681.806,0.81
18,2.0,0.1,121.0,0.404,5948.875,3689.17,0.791
19,2.0,0.15000000000000002,121.0,0.346,4897.373,2816.921,0.859
20,2.0,0.2,121.0,0.214,4648.343,2345.587,0.873
21,2.0,0.25,121.0,0.238,4739.884,2453.716,0.867
22,2.0,0.3,121.0,0.255,4647.916,2384.131,0.873
23,2.0,0.35,121.0,0.219,4538.472,2186.358,0.878
24,2.0,0.39999999999999997,121.0,0.324,4627.993,2451.347,0.874
25,2.0,0.44999999999999996,121.0,0.33,4442.96,2513.539,0.884
26,2.0,0.49999999999999994,121.0,0.254,4436.652,2222.868,0.884
27,2.0,0.5499999999999999,121.0,0.262,4391.669,2213.19,0.886
28,2.0,0.6,121.0,0.266,4534.76,2361.266,0.879
29,2.0,0.65,121.0,0.264,4464.166,2284.868,0.882
30,2.0,0.7000000000000001,121.0,0.255,4511.281,2312.78,0.88
31,2.0,0.7500000000000001,121.0,0.266,4570.664,2406.114,0.877
