,support,mape,rmse,mae,r2
train,348.5,0.018099999999999998,0.4383,0.34500000000000003,0.9978999999999999
cv,45.5,0.1072,3.1308999999999996,2.1424,0.8744
unobserved,51.0,0.1365,5.3043,3.0385999999999997,0.6723
