,support,mape,rmse,mae,r2
train,528.9,0.004999999999999999,0.1242,0.0935,1.0
cv,69.1,0.03470000000000001,2.4718,1.0362000000000002,0.9338
unobserved,77.0,0.0546,3.6900999999999997,1.7680999999999998,0.8854
