iter	RMSE
153	2.119216134
154	2.111060236
155	2.103508757
156	2.097429085
157	2.085025866
158	2.078835618
159	2.072883946
160	2.067333126
161	2.060902329
162	2.056925491
163	2.049878609
164	2.042624247
165	2.036460432
166	2.029474038
167	2.022073888
168	2.013224064
169	2.007803881
170	1.999450995
171	1.991903066
172	1.98508631
173	1.977591944
174	1.970735082
175	1.961595476
176	1.955418673
177	1.948459665
178	1.942993737
179	1.937762714
180	1.931662667
181	1.925161272
182	1.918391673
183	1.912317633
184	1.906059112
185	1.899074273
186	1.894460954
187	1.886785873
188	1.88048628
189	1.872843656
190	1.867760806
191	1.861465828
192	1.857541835
193	1.853219652
194	1.846662019
195	1.841125682
196	1.837751698
197	1.832408533
198	1.824652472
199	1.817452096
200	1.812281059
201	1.806515875
202	1.801535654
203	1.795456692
204	1.789844759
205	1.783897756
206	1.778386731
207	1.772997442
208	1.767128738
209	1.76287394
210	1.75728096
211	1.751848105
212	1.745426224
213	1.7388905
214	1.734925255
215	1.728376482
216	1.724480404
217	1.71962666
218	1.714193234
219	1.709547139
220	1.704702216
221	1.700014839
222	1.6946923
223	1.68895309
224	1.683956774
225	1.67917969
226	1.674561502
227	1.668990116
228	1.66319488
229	1.659521131
230	1.653654532
231	1.649168218
232	1.644687905
233	1.641760565
234	1.639207065
235	1.633676247
236	1.630195213
237	1.625178023
238	1.620353599
239	1.617193257
240	1.612035356
241	1.607568963
242	1.601210182
243	1.597510497
244	1.593743003
245	1.588756029
246	1.583623564
247	1.579152732
248	1.573803423
249	1.56929866
250	1.565355773
251	1.560840375
252	1.554797104
253	1.549479003
254	1.546220879
255	1.542612907
256	1.53859501
257	1.533438793
258	1.527702298
259	1.523753148
260	1.520661262
261	1.517002506
262	1.51279262
263	1.508557894
264	1.506694345
265	1.50323641
266	1.50021464
267	1.496749778
268	1.493267265
269	1.489868041
270	1.48751509
271	1.485132981
272	1.482988307
273	1.479126484
274	1.475158895
275	1.471306055
276	1.465986817
277	1.463915064
278	1.461747341
279	1.458417956
280	1.453950288
281	1.45050103
282	1.446018912
283	1.442877415
284	1.439607319
285	1.435208682
286	1.431558424
287	1.426288864
288	1.420366936
289	1.41642691
290	1.412502664
291	1.40879706
292	1.405582366
293	1.404078485
294	1.401886247
295	1.40041849
296	1.396819065
297	1.395345611
298	1.390980983
299	1.386589986
300	1.382979489
301	1.378433261
302	1.375267646
303	1.371563736
304	1.368706192
305	1.366633562
306	1.363930725
307	1.360488489
308	1.358600387
309	1.35545488
310	1.353018999
311	1.350876614
312	1.34982573
313	1.346798643
314	1.342363514
315	1.338352687
316	1.336064945
317	1.332201438
318	1.328027586
319	1.326272443
320	1.322984929
321	1.319975962
322	1.316424976
323	1.313236121
324	1.310226687
325	1.306682057
326	1.303295374
327	1.301072955
328	1.299524776
329	1.297309543
330	1.293838446
331	1.290070016
332	1.287880444
333	1.286998718
334	1.285392133
335	1.281865488
336	1.279460264
337	1.277992943
338	1.27520751
339	1.271864331
340	1.268456156
341	1.267120077
342	1.262847217
343	1.261983798
344	1.259634999
345	1.257296718
346	1.25646099
347	1.253116897
348	1.249678302
349	1.247469443
350	1.246242315
351	1.24421243
352	1.24179428
353	1.239348036
354	1.238002933
355	1.235881713
356	1.235113665
357	1.232447438
358	1.231086717
359	1.228263005
360	1.225543313
361	1.224628711
362	1.224254839
363	1.222964764
364	1.219911478
365	1.216449169
366	1.215514727
367	1.213284824
368	1.211967322
369	1.209440425
370	1.206223249
371	1.204827669
372	1.201531462
373	1.199079585
374	1.197872759
375	1.196688378
376	1.19635522
377	1.195956167
378	1.193824246
379	1.190993431
380	1.187597313
381	1.187076223
382	1.184549615
383	1.181086316
384	1.178289998
385	1.176446672
386	1.174201798
387	1.173074097
388	1.171032804
389	1.169893283
390	1.167291546
391	1.166995076
392	1.16441655
393	1.161230239
394	1.158839905
395	1.157718632
396	1.154717993
397	1.154308063
398	1.153519838
399	1.151450228
400	1.150466063
401	1.148543645
402	1.145861624
403	1.142577277
404	1.139042686
405	1.136380021
406	1.134129245
407	1.131515281
408	1.130004825
409	1.128463501
410	1.128201103
411	1.127804027
412	1.126712215
413	1.12610023
414	1.125854972
415	1.12355355
416	1.12192961
417	1.120594894
418	1.117311935
419	1.116468307
420	1.11621402
421	1.115972563
422	1.113162014
423	1.112012011
424	1.110200211
425	1.108995786
426	1.106747458
427	1.105075488
428	1.102192059
429	1.099248497
430	1.097758914
431	1.096949098
432	1.093737854
433	1.091036767
434	1.089868854
435	1.089572899
436	1.088783026
437	1.087135525
438	1.086907673
439	1.084077399
440	1.0814287
441	1.079049392
442	1.077742054
443	1.07671218
444	1.075456688
445	1.074784318
446	1.072962085
447	1.071321299
448	1.068606299
449	1.067243122
450	1.064896877
451	1.062807078
452	1.062549398
453	1.061443809
454	1.061162888
455	1.058887145
456	1.058237514
457	1.055758072
458	1.052964755
459	1.051279426
460	1.049511624
461	1.047210558
462	1.045722495
463	1.045523249
464	1.044268332
465	1.044046561
466	1.042867002
467	1.042661079
468	1.040617532
469	1.038537553
470	1.038293883
471	1.038095491
472	1.035990323
473	1.035183616
474	1.032267051
475	1.030218032
476	1.027740442
477	1.025651082
478	1.023693638
479	1.02350094
480	1.020895539
481	1.018566272
482	1.016998694
483	1.014068542
484	1.011698999
485	1.009334357
486	1.007552768
487	1.006037618
488	1.005809891
489	1.004449416
490	1.002099574
491	0.9999143914
492	0.9977084187
493	0.9962489782
494	0.9941750945
495	0.9926043453
496	0.9891929763
497	0.9867898008
498	0.9866439709
499	0.9844694847
500	0.9814458606
501	0.9800398917
502	0.9781989236
503	0.9754688822
504	0.972993969
505	0.9713513923
506	0.9682417889
507	0.9662050368
508	0.9653492251
509	0.9630352762
510	0.9611932362
511	0.9586369408
512	0.9562796677
513	0.956057038
514	0.9542061751
515	0.9533796509
516	0.9515642613
517	0.9498031808
518	0.9492816971
519	0.9474728904
520	0.9444704994
521	0.9425053954
522	0.9403235647
523	0.938056149
524	0.9368954463
525	0.9354672944
526	0.9330278272
527	0.9307510148
528	0.9292041811
529	0.9262121357
530	0.9244890882
531	0.9226179007
532	0.9210084381
533	0.9191877534
534	0.9178853805
535	0.9162618672
536	0.9146752568
537	0.9137713515
538	0.9118685309
539	0.9107454765
540	0.9087608512
541	0.9065896629
542	0.9051158348
543	0.9032253334
544	0.9013101638
545	0.9003328302
546	0.8984121679
547	0.8969593253
548	0.8943548396
549	0.8922842768
550	0.889874461
551	0.8880028442
552	0.887177187
553	0.8858630781
554	0.8842248697
555	0.8840420159
556	0.8816286984
557	0.8801327165
558	0.8785239877
559	0.8774102943
560	0.8760394839
561	0.8739534565
562	0.8716816049
563	0.8694627647
564	0.8682117378
565	0.8665449753
566	0.8637299544
567	0.8623721379
568	0.8621858693
569	0.8606659542
570	0.859110628
571	0.8574251087
572	0.8550063203
573	0.8527517151
574	0.8504429494
575	0.848044187
576	0.8463950289
577	0.8450206057
578	0.8431640057
579	0.8421913418
580	0.84046863
581	0.8398155093
582	0.8376998546
583	0.8360812173
584	0.8340605063
585	0.8321555612
586	0.831986502
587	0.830946944
588	0.8291752072
589	0.8269431536
590	0.8245863432
591	0.8229878308
592	0.8210146971
593	0.8192996673
594	0.817957258
595	0.8159966496
596	0.8149075259
597	0.8131176067
598	0.8108430561
599	0.8094519998
600	0.8076445122
601	0.8059805919
602	0.8043332515
603	0.8030154662
604	0.8022729113
605	0.8007563051
606	0.7991006329
607	0.7984435014
608	0.7971628006
609	0.7959172623
610	0.7944640283
611	0.7926635301
612	0.7903431025
613	0.7890850378
614	0.7871742476
615	0.7860379519
616	0.7843261509
617	0.7827314471
618	0.7816695145
619	0.7801391749
620	0.7785393489
621	0.7762780404
622	0.7745721582
623	0.7742234819
624	0.7740632619
625	0.7722373728
626	0.7700778381
627	0.7686765167
628	0.7672092654
629	0.7660478544
630	0.7641068855
631	0.7637541599
632	0.7629488256
633	0.7616951607
634	0.7606076467
635	0.7580551851
636	0.7571617057
637	0.7570359841
638	0.7553473039
639	0.7542398314
640	0.7526631168
641	0.7505602788
642	0.7500266701
643	0.7476473175
644	0.7461971262
645	0.7443335288
646	0.7423565923
647	0.7412120597
648	0.7397473331
649	0.7375367409
650	0.736164682
651	0.7356210547
652	0.7348793279
653	0.7331262343
654	0.7315384004
655	0.7308593009
656	0.7297362621
657	0.7284208995
658	0.7280530724
659	0.7258559698
660	0.7251355949
661	0.7239032171
662	0.7228079189
663	0.7220050398
664	0.7204206522
665	0.7186948939
666	0.717471402
667	0.715851482
668	0.7140646639
669	0.7136867536
670	0.7121136573
671	0.7115120248
672	0.7113741144
673	0.7098852563
674	0.7075503749
675	0.7065360696
676	0.7046179002
677	0.7032278985
678	0.7016077817
679	0.6996919393
680	0.6981275589
681	0.6973283234
682	0.695910514
683	0.6951338062
684	0.6934431743
685	0.6917129564
686	0.6906752326
687	0.6905690121
688	0.6895708178
689	0.6879072076
690	0.6863960086
691	0.6853305446
692	0.6847475835
693	0.6831189764
694	0.6816342502
695	0.6809575529
696	0.6799301064
697	0.6794814864
698	0.679352606
699	0.6783499591
700	0.6782470591
701	0.6767468429
702	0.6763106975
703	0.6761549876
704	0.6749478633
705	0.6747960308
706	0.673297103
707	0.6721381311
708	0.6707258567
709	0.6691738985
710	0.6675808194
711	0.6659683051
712	0.6647119247
713	0.6629201828
714	0.6619342967
715	0.6610025768
716	0.6596252613
717	0.6584891174
718	0.6567229057
719	0.655452759
720	0.6550541373
721	0.6543674924
722	0.653456037
723	0.6530035458
724	0.6521650957
725	0.6513115552
726	0.6503392922
727	0.6495087959
728	0.6481416317
729	0.647882575
730	0.6475139625
731	0.6460632279
732	0.6451453715
733	0.6444220481
734	0.642662678
735	0.6408468334
736	0.6399831859
737	0.6390853781
738	0.6381871387
739	0.6360741625
740	0.6345809341
741	0.6331366912
742	0.6315059613
743	0.6300382053
744	0.6289967613
745	0.6287209449
746	0.627518519
747	0.6274343662
748	0.6264438086
749	0.6255642441
750	0.6247221058
751	0.6238834825
752	0.6219512308
753	0.6212605044
754	0.6194228781
755	0.6181788947
756	0.617305861
757	0.6163357141
758	0.6162225999
759	0.6149185874
760	0.6134100161
761	0.6124811495
762	0.611699686
763	0.610709291
764	0.6090855966
765	0.6078979435
766	0.6072244987
767	0.6071138346
768	0.6069842677
769	0.6060799704
770	0.6043808542
771	0.6027416588
772	0.6011598918
773	0.6003506492
774	0.5994154096
775	0.5983221541
776	0.5974214179
777	0.5973255552
778	0.5967243623
779	0.5959380023
780	0.594700422
781	0.5933953068
782	0.5919875067
783	0.5912121356
784	0.5905857512
785	0.589615578
786	0.5888944939
787	0.5882918751
788	0.5881429387
789	0.5877868751
790	0.5870324015
791	0.5856078779
792	0.5842597928
793	0.5830366243
794	0.582939378
795	0.5828537323
796	0.5818094002
797	0.5804525492
798	0.5792842111
799	0.5778954739
800	0.5774744008
801	0.5768432634
802	0.5755922445
803	0.574177801
804	0.5730741562
805	0.5720428826
806	0.5719368272
807	0.5712579634
808	0.5702831433
809	0.5689994483
810	0.5674577568
811	0.5661579117
812	0.5651963751
813	0.5638963839
814	0.5622851925
815	0.5614821173
816	0.5609022934
817	0.560808851
818	0.5587776363
819	0.5577591111
820	0.5567173198
821	0.5564248469
822	0.5552562485
823	0.5545105121
824	0.5534657445
825	0.5525462306
826	0.5513044599
827	0.5503459189
828	0.5502050605
829	0.5498873256
830	0.5488909131
831	0.5487178317
832	0.5475672392
833	0.5459102858
834	0.5449188387
835	0.5443342391
836	0.5432858004
837	0.5426688048
838	0.5420204089
839	0.5416898115
840	0.5411278526
841	0.539779453
842	0.5388594203
843	0.5377847136
844	0.5373432803
845	0.5367118521
846	0.5354967997
847	0.5342032683
848	0.532856507
849	0.5316326589
850	0.5306903541
851	0.5298119655
852	0.5285582833
853	0.5281832925
854	0.527864234
855	0.5269079715
856	0.525716857
857	0.5248408243
858	0.5243508012
859	0.5235770093
860	0.5229964802
861	0.521732393
862	0.5211641101
863	0.5206556401
864	0.520314935
865	0.5196422038
866	0.5187879741
867	0.518159963
868	0.5173169733
869	0.5167384138
870	0.5160916273
871	0.5148608599
872	0.513663141
873	0.5127139193
874	0.5119208871
875	0.5108240963
876	0.5103986921
877	0.5094102908
878	0.5082440464
879	0.5070846996
880	0.5063638914
881	0.5054389469
882	0.5051784647
883	0.5039170702
884	0.502688474
885	0.5021015823
886	0.5002602661
887	0.4992295367
888	0.4984404709
889	0.4970229839
890	0.4958805404
891	0.4955990513
892	0.4947655078
893	0.4939164785
894	0.4935674159
895	0.4934675405
896	0.4928314784
897	0.4914588124
898	0.4909671656
899	0.4902009201
900	0.4892171002
901	0.4885368636
902	0.487983299
903	0.4870683283
904	0.4858402126
905	0.485469608
906	0.4844533088
907	0.4830979923
908	0.4829220795
909	0.4826226542
910	0.4817554948
911	0.4814459671
912	0.4807492204
913	0.4805059916
914	0.4796314327
915	0.4785219259
916	0.4776761273
917	0.4776133457
918	0.4768851292
919	0.4760176463
920	0.4751304915
921	0.4738276954
922	0.4731003507
923	0.4727033604
924	0.4724564557
925	0.4719437699
926	0.4718438605
927	0.4717764144
928	0.4708849781
929	0.4693637948
930	0.4682577825
931	0.4680105387
932	0.4671173937
933	0.4664620178
934	0.4658076693
935	0.4652473474
936	0.4645024485
937	0.4638736869
938	0.4630379297
939	0.4617987492
940	0.4616756618
941	0.4607730021
942	0.4599459649
943	0.4588629733
944	0.458790671
945	0.4587190493
946	0.4577878746
947	0.4570542688
948	0.4563596089
949	0.4562975672
950	0.4552654873
951	0.4546855799
952	0.4539079839
953	0.4528463121
954	0.4517747919
955	0.4515893107
956	0.4511219652
957	0.4507413867
958	0.4501082657
959	0.4496021227
960	0.4489759369
961	0.4483512493
962	0.4473460628
963	0.4463011195
964	0.4462339253
965	0.4451801898
966	0.4440453373
967	0.4436518854
968	0.4427160754
969	0.4421902771
970	0.4415225858
971	0.4410773565
972	0.4402526876
973	0.4399871461
974	0.4389398782
975	0.4384757452
976	0.437942876
977	0.4369085412
978	0.4355735652
979	0.4342419479
980	0.4341772606
981	0.4340029352
982	0.4338259942
983	0.4330718171
984	0.4326500934
985	0.4322011002
986	0.4320098814
987	0.4319187027
988	0.4313546841
989	0.4308482424
990	0.4304321827
991	0.4293873396
992	0.4286403884
993	0.4279350604
994	0.4273337805
995	0.4271624846
996	0.4269532769
997	0.4260384245
998	0.4255095922
999	0.4248553929
