iter	RMSE
0	9.005764732
1	8.817378042
2	8.638862293
3	8.488433721
4	8.342827613
5	8.188127772
6	8.026091255
7	7.874959691
8	7.733589412
9	7.582872484
10	7.442746513
11	7.306638325
12	7.168389741
13	7.040927248
14	6.926231457
15	6.791769162
16	6.663135615
17	6.546715338
18	6.425664335
19	6.309808688
20	6.194650635
21	6.10254076
22	6.004577764
23	5.906843848
24	5.803550569
25	5.715738651
26	5.632533921
27	5.544375588
28	5.450699417
29	5.356303979
30	5.26461001
31	5.189754026
32	5.112252437
33	5.045185245
34	4.974246155
35	4.907535602
36	4.844778303
37	4.789090061
38	4.717421469
39	4.646572943
40	4.588633604
41	4.530441475
42	4.470604167
43	4.427608271
44	4.375110648
45	4.316960958
46	4.261617088
47	4.203202559
48	4.158460705
49	4.112600726
50	4.062827308
51	4.013507421
52	3.967491623
53	3.931046097
54	3.883222262
55	3.843173731
56	3.806682493
57	3.761322136
58	3.728347726
59	3.694468339
60	3.655461256
61	3.616876838
62	3.583723847
63	3.547793577
64	3.517294291
65	3.490140826
66	3.456289439
67	3.4248365
68	3.397789558
69	3.376695984
70	3.3478384
71	3.318255115
72	3.292471899
73	3.261405945
74	3.225938106
75	3.200835736
76	3.172499286
77	3.145747253
78	3.12418201
79	3.09788435
80	3.071941951
81	3.049990321
82	3.027727994
83	3.004080488
84	2.985382437
85	2.959677463
86	2.939670761
87	2.918713117
88	2.900939611
89	2.88001685
90	2.85970509
91	2.838555491
92	2.825329508
93	2.809411209
94	2.788968301
95	2.774800824
96	2.758802215
97	2.740271283
98	2.726473671
99	2.71349077
100	2.701676464
101	2.685829131
102	2.66885151
103	2.656021644
104	2.642253238
105	2.626988023
106	2.610157312
107	2.595708821
108	2.581687631
109	2.569733749
110	2.557449229
111	2.540723582
112	2.525497728
113	2.507995744
114	2.496841457
115	2.48226105
116	2.471090935
117	2.456435984
118	2.443278398
119	2.435206771
120	2.422981337
121	2.415299745
122	2.403375221
123	2.395097433
124	2.38330353
125	2.369032992
126	2.357428984
127	2.350896095
128	2.338038377
129	2.327725391
130	2.317697459
131	2.307878832
132	2.298475299
133	2.289957021
134	2.283174018
135	2.275136548
136	2.264847339
137	2.254907221
138	2.245034873
139	2.236620769
140	2.228831136
141	2.220312221
142	2.210640372
143	2.20174208
144	2.19401821
145	2.18281036
146	2.175899897
147	2.166726332
148	2.156655923
149	2.149487815
150	2.140776196
151	2.133908907
152	2.126698594
