,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,70.0,0.061,2.077,1.409,0.957
1,1.0,0.15000000000000002,70.0,0.047,1.431,1.02,0.98
2,1.0,0.2,70.0,0.043,1.2,0.906,0.986
3,1.0,0.25,70.0,0.039,1.096,0.784,0.988
4,1.0,0.3,70.0,0.034,0.893,0.687,0.992
5,1.0,0.35,70.0,0.031,0.775,0.597,0.994
6,1.0,0.39999999999999997,70.0,0.03,0.733,0.57,0.995
7,1.0,0.44999999999999996,70.0,0.025,0.709,0.518,0.995
8,1.0,0.49999999999999994,70.0,0.023,0.635,0.477,0.996
9,1.0,0.5499999999999999,70.0,0.021,0.612,0.441,0.996
10,1.0,0.6,70.0,0.021,0.587,0.438,0.997
11,1.0,0.65,70.0,0.019,0.574,0.417,0.997
12,1.0,0.7000000000000001,70.0,0.018,0.551,0.407,0.997
13,1.0,0.7500000000000001,70.0,0.017,0.545,0.397,0.997
14,1.0,0.8000000000000002,70.0,0.017,0.566,0.399,0.997
15,1.0,0.8500000000000002,70.0,0.017,0.562,0.385,0.997
16,1.0,0.9000000000000002,70.0,0.016,0.548,0.381,0.997
17,1.0,0.9500000000000003,70.0,0.016,0.549,0.386,0.997
18,1.0,1.0000000000000002,70.0,0.017,0.553,0.386,0.997
19,2.0,0.1,69.0,0.055,1.543,0.971,0.973
20,2.0,0.15000000000000002,69.0,0.04,1.195,0.789,0.984
21,2.0,0.2,69.0,0.041,1.11,0.765,0.986
22,2.0,0.25,69.0,0.033,0.886,0.628,0.991
23,2.0,0.3,69.0,0.029,0.829,0.577,0.992
24,2.0,0.35,69.0,0.03,0.766,0.556,0.993
25,2.0,0.39999999999999997,69.0,0.028,0.719,0.526,0.994
26,2.0,0.44999999999999996,69.0,0.023,0.56,0.411,0.996
27,2.0,0.49999999999999994,69.0,0.023,0.534,0.407,0.997
28,2.0,0.5499999999999999,69.0,0.024,0.509,0.409,0.997
29,2.0,0.6,69.0,0.021,0.477,0.371,0.997
30,2.0,0.65,69.0,0.018,0.438,0.337,0.998
31,2.0,0.7000000000000001,69.0,0.019,0.456,0.349,0.998
32,2.0,0.7500000000000001,69.0,0.016,0.436,0.32,0.998
33,2.0,0.8000000000000002,69.0,0.014,0.392,0.28,0.998
34,2.0,0.8500000000000002,69.0,0.013,0.416,0.273,0.998
35,2.0,0.9000000000000002,69.0,0.013,0.41,0.274,0.998
36,2.0,0.9500000000000003,69.0,0.012,0.375,0.249,0.998
37,2.0,1.0000000000000002,69.0,0.013,0.385,0.269,0.998
38,3.0,0.1,69.0,0.064,2.15,1.48,0.949
39,3.0,0.15000000000000002,69.0,0.059,1.68,1.127,0.969
40,3.0,0.2,69.0,0.039,1.299,0.85,0.981
41,3.0,0.25,69.0,0.034,1.154,0.745,0.985
42,3.0,0.3,69.0,0.032,1.088,0.716,0.987
43,3.0,0.35,69.0,0.03,1.045,0.679,0.988
44,3.0,0.39999999999999997,69.0,0.028,0.867,0.576,0.992
45,3.0,0.44999999999999996,69.0,0.025,0.696,0.476,0.995
46,3.0,0.49999999999999994,69.0,0.026,0.724,0.487,0.994
47,3.0,0.5499999999999999,69.0,0.022,0.649,0.433,0.995
48,3.0,0.6,69.0,0.02,0.523,0.405,0.997
49,3.0,0.65,69.0,0.018,0.517,0.383,0.997
50,3.0,0.7000000000000001,69.0,0.019,0.501,0.381,0.997
51,3.0,0.7500000000000001,69.0,0.018,0.511,0.379,0.997
52,3.0,0.8000000000000002,69.0,0.018,0.537,0.377,0.997
53,3.0,0.8500000000000002,69.0,0.015,0.476,0.331,0.997
54,3.0,0.9000000000000002,69.0,0.015,0.463,0.329,0.998
55,3.0,0.9500000000000003,69.0,0.015,0.489,0.346,0.997
56,3.0,1.0000000000000002,69.0,0.014,0.467,0.321,0.998
57,4.0,0.1,69.0,0.062,1.727,1.156,0.971
58,4.0,0.15000000000000002,69.0,0.045,1.326,0.833,0.983
59,4.0,0.2,69.0,0.047,1.386,0.862,0.981
60,4.0,0.25,69.0,0.043,1.204,0.724,0.986
61,4.0,0.3,69.0,0.033,0.906,0.619,0.992
62,4.0,0.35,69.0,0.03,0.756,0.565,0.994
63,4.0,0.39999999999999997,69.0,0.028,0.647,0.494,0.996
64,4.0,0.44999999999999996,69.0,0.026,0.554,0.444,0.997
65,4.0,0.49999999999999994,69.0,0.022,0.496,0.38,0.998
66,4.0,0.5499999999999999,69.0,0.021,0.493,0.361,0.998
67,4.0,0.6,69.0,0.024,0.546,0.401,0.997
68,4.0,0.65,69.0,0.02,0.49,0.349,0.998
69,4.0,0.7000000000000001,69.0,0.02,0.468,0.339,0.998
70,4.0,0.7500000000000001,69.0,0.018,0.455,0.324,0.998
71,4.0,0.8000000000000002,69.0,0.019,0.481,0.335,0.998
72,4.0,0.8500000000000002,69.0,0.019,0.48,0.33,0.998
73,4.0,0.9000000000000002,69.0,0.017,0.43,0.301,0.998
74,4.0,0.9500000000000003,69.0,0.017,0.457,0.304,0.998
75,4.0,1.0000000000000002,69.0,0.015,0.451,0.294,0.998
76,5.0,0.1,69.0,0.069,2.352,1.762,0.941
77,5.0,0.15000000000000002,69.0,0.044,1.382,1.066,0.98
78,5.0,0.2,69.0,0.039,1.157,0.887,0.986
79,5.0,0.25,69.0,0.038,1.125,0.837,0.986
80,5.0,0.3,69.0,0.038,1.129,0.823,0.986
81,5.0,0.35,69.0,0.031,0.75,0.573,0.994
82,5.0,0.39999999999999997,69.0,0.024,0.713,0.515,0.995
83,5.0,0.44999999999999996,69.0,0.019,0.598,0.429,0.996
84,5.0,0.49999999999999994,69.0,0.02,0.619,0.439,0.996
85,5.0,0.5499999999999999,69.0,0.02,0.615,0.434,0.996
86,5.0,0.6,69.0,0.019,0.563,0.405,0.997
87,5.0,0.65,69.0,0.016,0.553,0.388,0.997
88,5.0,0.7000000000000001,69.0,0.017,0.586,0.419,0.996
89,5.0,0.7500000000000001,69.0,0.016,0.567,0.386,0.997
90,5.0,0.8000000000000002,69.0,0.015,0.52,0.358,0.997
91,5.0,0.8500000000000002,69.0,0.015,0.53,0.358,0.997
92,5.0,0.9000000000000002,69.0,0.015,0.518,0.363,0.997
93,5.0,0.9500000000000003,69.0,0.015,0.515,0.357,0.997
94,5.0,1.0000000000000002,69.0,0.015,0.511,0.36,0.997
95,6.0,0.1,69.0,0.048,1.997,1.299,0.96
96,6.0,0.15000000000000002,69.0,0.036,1.295,0.805,0.983
97,6.0,0.2,69.0,0.034,1.102,0.723,0.988
98,6.0,0.25,69.0,0.034,0.985,0.699,0.99
99,6.0,0.3,69.0,0.033,0.914,0.647,0.992
100,6.0,0.35,69.0,0.025,0.745,0.512,0.994
101,6.0,0.39999999999999997,69.0,0.024,0.691,0.48,0.995
102,6.0,0.44999999999999996,69.0,0.026,0.684,0.492,0.995
103,6.0,0.49999999999999994,69.0,0.023,0.642,0.44,0.996
104,6.0,0.5499999999999999,69.0,0.022,0.593,0.424,0.997
105,6.0,0.6,69.0,0.021,0.56,0.403,0.997
106,6.0,0.65,69.0,0.02,0.529,0.389,0.997
107,6.0,0.7000000000000001,69.0,0.016,0.495,0.341,0.998
108,6.0,0.7500000000000001,69.0,0.016,0.471,0.329,0.998
109,6.0,0.8000000000000002,69.0,0.016,0.499,0.344,0.998
110,6.0,0.8500000000000002,69.0,0.014,0.451,0.313,0.998
111,6.0,0.9000000000000002,69.0,0.014,0.438,0.3,0.998
112,6.0,0.9500000000000003,69.0,0.014,0.466,0.317,0.998
113,6.0,1.0000000000000002,69.0,0.014,0.462,0.309,0.998
114,7.0,0.1,69.0,0.057,1.687,1.109,0.966
115,7.0,0.15000000000000002,69.0,0.058,1.532,0.983,0.972
116,7.0,0.2,69.0,0.056,1.498,0.88,0.974
117,7.0,0.25,69.0,0.025,0.827,0.552,0.992
118,7.0,0.3,69.0,0.026,0.823,0.557,0.992
119,7.0,0.35,69.0,0.026,0.86,0.561,0.991
120,7.0,0.39999999999999997,69.0,0.024,0.711,0.502,0.994
121,7.0,0.44999999999999996,69.0,0.019,0.575,0.41,0.996
122,7.0,0.49999999999999994,69.0,0.02,0.583,0.427,0.996
123,7.0,0.5499999999999999,69.0,0.021,0.606,0.449,0.996
124,7.0,0.6,69.0,0.017,0.532,0.378,0.997
125,7.0,0.65,69.0,0.019,0.524,0.389,0.997
126,7.0,0.7000000000000001,69.0,0.018,0.546,0.395,0.996
127,7.0,0.7500000000000001,69.0,0.016,0.522,0.362,0.997
128,7.0,0.8000000000000002,69.0,0.016,0.492,0.355,0.997
129,7.0,0.8500000000000002,69.0,0.015,0.473,0.337,0.997
130,7.0,0.9000000000000002,69.0,0.016,0.523,0.36,0.997
131,7.0,0.9500000000000003,69.0,0.016,0.531,0.369,0.997
132,7.0,1.0000000000000002,69.0,0.016,0.513,0.361,0.997
133,8.0,0.1,69.0,0.061,1.601,1.088,0.978
134,8.0,0.15000000000000002,69.0,0.056,1.221,0.824,0.987
135,8.0,0.2,69.0,0.053,1.188,0.801,0.988
136,8.0,0.25,69.0,0.047,1.105,0.691,0.989
137,8.0,0.3,69.0,0.038,0.848,0.613,0.994
138,8.0,0.35,69.0,0.033,0.761,0.534,0.995
139,8.0,0.39999999999999997,69.0,0.036,0.758,0.566,0.995
140,8.0,0.44999999999999996,69.0,0.034,0.743,0.541,0.995
141,8.0,0.49999999999999994,69.0,0.026,0.651,0.487,0.996
142,8.0,0.5499999999999999,69.0,0.025,0.615,0.449,0.997
143,8.0,0.6,69.0,0.022,0.591,0.432,0.997
144,8.0,0.65,69.0,0.019,0.526,0.387,0.998
145,8.0,0.7000000000000001,69.0,0.02,0.526,0.393,0.998
146,8.0,0.7500000000000001,69.0,0.025,0.573,0.444,0.997
147,8.0,0.8000000000000002,69.0,0.023,0.528,0.409,0.998
148,8.0,0.8500000000000002,69.0,0.02,0.485,0.372,0.998
149,8.0,0.9000000000000002,69.0,0.021,0.539,0.395,0.997
150,8.0,0.9500000000000003,69.0,0.018,0.496,0.354,0.998
151,8.0,1.0000000000000002,69.0,0.018,0.5,0.349,0.998
152,9.0,0.1,69.0,0.089,2.319,1.346,0.94
153,9.0,0.15000000000000002,69.0,0.095,2.295,1.23,0.941
154,9.0,0.2,69.0,0.101,2.446,1.178,0.933
155,9.0,0.25,69.0,0.029,0.923,0.565,0.99
156,9.0,0.3,69.0,0.026,0.758,0.479,0.994
157,9.0,0.35,69.0,0.025,0.622,0.442,0.996
158,9.0,0.39999999999999997,69.0,0.026,0.655,0.456,0.995
159,9.0,0.44999999999999996,69.0,0.022,0.519,0.363,0.997
160,9.0,0.49999999999999994,69.0,0.021,0.474,0.35,0.997
161,9.0,0.5499999999999999,69.0,0.023,0.503,0.378,0.997
162,9.0,0.6,69.0,0.021,0.486,0.365,0.997
163,9.0,0.65,69.0,0.021,0.456,0.351,0.998
164,9.0,0.7000000000000001,69.0,0.018,0.433,0.31,0.998
165,9.0,0.7500000000000001,69.0,0.017,0.424,0.303,0.998
