,support,mape,rmse,mae,r2
train,4402.3,0.08919999999999999,0.022,0.016800000000000002,0.9427
cv,528.7,0.13069999999999998,0.0347,0.0253,0.8552
unobserved,588.0,0.1282,0.03560000000000001,0.0254,0.8557
