,support,mape,rmse,mae,r2
train,590.9,0.014700000000000001,0.5095000000000001,0.2996,0.9974000000000001
cv,69.1,0.022399999999999996,0.805,0.47339999999999993,0.9932000000000001
unobserved,77.0,0.0279,0.8571,0.5455,0.9937999999999999
